GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,ComputationTimes(Copy (ms)),ComputationTimes(Agent),ComputationTimes(Actions Available Compute (ms)),ComputationTimes(Player),ComputationTimes(Next (ms)),ComputationTimes(Agent (ms))
234785527,Azul,3,ACTION_TAKEN,23,21,2,7,0.3806,RuleBased,0.0187,0,0.0814,0.0682
234785527,Azul,3,ACTION_TAKEN,24,22,2,7,0.1843,Random,0.0173,1,0.0615,0.0025
234785527,Azul,3,ACTION_TAKEN,25,23,2,7,0.1066,RuleBased,0.0265,0,0.057,0.072
234785527,Azul,3,ACTION_TAKEN,26,24,2,7,0.0773,Random,0.0097,1,0.0386,0.0021
234785527,Azul,3,ACTION_TAKEN,27,25,2,7,0.0634,RuleBased,0.0073,0,0.0397,0.0366
234785527,Azul,3,ACTION_TAKEN,28,26,2,7,0.0581,Random,0.0073,1,0.0372,0.0015
234785527,Azul,3,ACTION_TAKEN,29,27,2,7,0.0606,RuleBased,0.0065,0,0.1007,0.0208
234785527,Azul,4,ACTION_TAKEN,30,27,2,7,0.538,Random,0.1096,1,0.2538,0.0722
234785527,Azul,4,ACTION_TAKEN,31,28,2,7,0.2205,Random,0.0236,1,4.2137,0.0056
234785527,Azul,4,ACTION_TAKEN,32,29,2,7,0.6513,RuleBased,0.0289,0,0.0777,0.1626
234785527,Azul,4,ACTION_TAKEN,33,30,2,7,0.0935,Random,0.018,1,0.0572,0.0021
234785527,Azul,4,ACTION_TAKEN,34,31,2,7,0.1164,RuleBased,0.1404,0,0.0579,0.0615
234785527,Azul,4,ACTION_TAKEN,35,32,2,7,0.114,Random,0.0113,1,0.0524,0.0022
234785527,Azul,4,ACTION_TAKEN,36,33,2,7,0.179,RuleBased,0.0128,0,0.0936,0.0583
234785527,Azul,4,ACTION_TAKEN,37,34,2,7,0.28,Random,0.0345,1,0.1043,0.0028
234785527,Azul,4,ACTION_TAKEN,38,35,2,7,0.1303,RuleBased,0.0113,0,0.0694,0.0375
234785527,Azul,5,ACTION_TAKEN,39,35,2,7,0.1207,Random,0.0091,1,0.0809,0.0375
234785527,Azul,5,ACTION_TAKEN,40,36,2,7,0.085,Random,0.0103,1,0.0334,0.0024
234785527,Azul,5,ACTION_TAKEN,41,37,2,7,0.0592,RuleBased,0.009,0,0.0303,0.0427
234785527,Azul,5,ACTION_TAKEN,42,38,2,7,0.0579,Random,0.0252,1,0.0497,0.0018
234785527,Azul,5,ACTION_TAKEN,43,39,2,7,0.0898,RuleBased,0.0089,0,0.0478,0.0444
234785527,Azul,5,ACTION_TAKEN,44,40,2,7,0.0812,Random,0.0079,1,0.0862,0.0013
234785527,Azul,5,ACTION_TAKEN,45,41,2,7,0.0986,RuleBased,0.0122,0,0.0548,0.0662
234785527,Azul,5,ACTION_TAKEN,46,42,2,7,0.0974,Random,0.0105,1,0.0551,0.0018
234785527,Azul,5,ACTION_TAKEN,47,43,2,7,0.0632,RuleBased,0.0065,0,0.0347,0.0308
234785527,Azul,5,ACTION_TAKEN,48,44,2,7,0.0613,Random,0.0057,1,0.0526,0.0023
234785527,Azul,5,ACTION_TAKEN,49,44,2,7,0.3099,RuleBased,0.0192,0,0.1776,0.8083
-1360544799,Azul,1,ACTION_TAKEN,1,1,2,8,0.0525,RuleBased,0.0119,0,0.0707,0.066
-1360544799,Azul,1,ACTION_TAKEN,2,2,2,8,0.1538,Random,0.0175,1,0.0602,0.0042
-1360544799,Azul,1,ACTION_TAKEN,3,3,2,8,0.1108,RuleBased,0.0287,0,0.0613,0.0946
-1360544799,Azul,1,ACTION_TAKEN,4,4,2,8,0.1402,Random,0.0362,1,0.0616,0.0066
-1360544799,Azul,1,ACTION_TAKEN,5,5,2,8,0.1697,RuleBased,0.018,0,0.0923,0.1011
-1360544799,Azul,1,ACTION_TAKEN,6,6,2,8,0.168,Random,0.0259,1,0.2266,0.0059
-1360544799,Azul,1,ACTION_TAKEN,7,7,2,8,0.569,RuleBased,0.0454,0,0.1106,0.1067
-1360544799,Azul,1,ACTION_TAKEN,8,8,2,8,0.2672,Random,0.0294,1,0.1044,0.0083
-1360544799,Azul,2,ACTION_TAKEN,9,8,2,8,0.1493,RuleBased,0.0157,0,0.1036,0.0487
-1360544799,Azul,2,ACTION_TAKEN,10,9,2,8,0.118,RuleBased,0.0151,0,0.0565,0.0832
-1360544799,Azul,2,ACTION_TAKEN,11,10,2,8,0.1204,Random,0.0123,1,0.046,0.0027
-1360544799,Azul,2,ACTION_TAKEN,12,11,2,8,0.153,RuleBased,0.0139,0,0.0543,0.0865
-1360544799,Azul,2,ACTION_TAKEN,13,12,2,8,0.2825,Random,0.0141,1,0.0489,0.0023
-1360544799,Azul,2,ACTION_TAKEN,14,13,2,8,0.1243,RuleBased,0.01,0,0.0668,0.0892
-1360544799,Azul,2,ACTION_TAKEN,15,14,2,8,0.1318,Random,0.0112,1,0.0739,0.0025
-1360544799,Azul,2,ACTION_TAKEN,16,15,2,8,0.1553,RuleBased,0.0141,0,1.3888,0.0508
-1360544799,Azul,2,ACTION_TAKEN,17,16,2,8,0.1876,Random,0.0175,1,0.1381,0.01
-1360544799,Azul,3,ACTION_TAKEN,18,16,2,8,0.1658,RuleBased,0.0104,0,1.0362,0.01
-1360544799,Azul,3,ACTION_TAKEN,19,17,2,8,0.2876,RuleBased,0.0217,0,0.1072,0.1106
-1360544799,Azul,3,ACTION_TAKEN,20,18,2,8,0.5255,Random,0.0368,1,0.0939,0.0039
-1360544799,Azul,3,ACTION_TAKEN,21,19,2,8,0.4375,RuleBased,0.0223,0,0.0488,0.0847
-1360544799,Azul,3,ACTION_TAKEN,22,20,2,8,0.0946,Random,0.009,1,0.0485,0.0019
-1360544799,Azul,3,ACTION_TAKEN,23,21,2,8,0.5427,RuleBased,0.0196,0,0.0665,0.086
-1360544799,Azul,3,ACTION_TAKEN,24,22,2,8,0.132,Random,0.0095,1,0.0828,0.0024
-1360544799,Azul,3,ACTION_TAKEN,25,23,2,8,0.1293,RuleBased,0.0136,0,0.0717,0.0667
-1360544799,Azul,3,ACTION_TAKEN,26,24,2,8,0.1671,Random,0.0116,1,0.0551,0.0028
-1360544799,Azul,3,ACTION_TAKEN,27,25,2,8,0.1224,RuleBased,0.0111,0,0.053,0.0503
-1360544799,Azul,3,ACTION_TAKEN,28,26,2,8,0.1113,Random,0.0082,1,0.052,0.0022
-1360544799,Azul,4,ACTION_TAKEN,29,26,2,8,0.1308,RuleBased,0.0075,0,0.0713,0.0355
-1360544799,Azul,4,ACTION_TAKEN,30,27,2,8,0.0835,RuleBased,0.0094,0,0.0524,0.0412
-1360544799,Azul,4,ACTION_TAKEN,31,28,2,8,0.1399,Random,0.0163,1,0.045,0.0029
-1360544799,Azul,4,ACTION_TAKEN,32,29,2,8,0.118,RuleBased,0.0143,0,0.0426,0.0689
-1360544799,Azul,4,ACTION_TAKEN,33,30,2,8,0.1153,Random,0.0188,1,0.0289,0.003
-1360544799,Azul,4,ACTION_TAKEN,34,31,2,8,0.0999,RuleBased,0.0074,0,0.0568,0.0383
-1360544799,Azul,4,ACTION_TAKEN,35,32,2,8,0.4736,Random,0.0201,1,0.114,0.0042
-1360544799,Azul,4,ACTION_TAKEN,36,33,2,8,0.5811,RuleBased,0.0287,0,0.137,0.1043
-1360544799,Azul,4,ACTION_TAKEN,37,34,2,8,0.2206,Random,0.0834,1,0.1357,0.0054
-1360544799,Azul,4,ACTION_TAKEN,38,35,2,8,0.1402,RuleBased,0.0106,0,0.0406,0.0407
-1360544799,Azul,4,ACTION_TAKEN,39,36,2,8,0.0682,Random,0.0057,1,0.0647,0.0016
-1360544799,Azul,5,ACTION_TAKEN,40,36,2,8,0.1442,RuleBased,0.0099,0,0.085,0.0016
-1360544799,Azul,5,ACTION_TAKEN,41,37,2,8,0.1083,RuleBased,0.0138,0,0.0559,0.0719
-1360544799,Azul,5,ACTION_TAKEN,42,38,2,8,0.2461,Random,0.0181,1,0.0633,0.0043
-1360544799,Azul,5,ACTION_TAKEN,43,39,2,8,0.178,RuleBased,0.089,0,0.157,0.1486
-1360544799,Azul,5,ACTION_TAKEN,44,40,2,8,0.2581,Random,0.0228,1,0.0739,0.0051
-1360544799,Azul,5,ACTION_TAKEN,45,41,2,8,0.1449,RuleBased,0.0097,0,0.1016,0.0671
-1360544799,Azul,5,ACTION_TAKEN,46,42,2,8,0.1717,Random,0.0121,1,0.086,0.004
-1360544799,Azul,5,ACTION_TAKEN,47,43,2,8,0.1248,RuleBased,0.01,0,0.0516,0.0614
