MCTS-Advanced \ Game #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
games.azul.actions.TakeTilesAction@6613275d,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
games.azul.actions.TakeTilesAction@327c824a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
games.azul.actions.TakeTilesAction@592e2be1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
games.azul.actions.TakeTilesAction@25701691,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,3,0,1,2,1,1,0,0,1,1,0,0,1,3,0,0,0,0,1,1,0,0,0,1,0
games.azul.actions.TakeTilesAction@592e2fe0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
games.azul.actions.TakeTilesAction@592e2139,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0
games.azul.actions.TakeTilesAction@327c6f28,1,1,0,1,1,1,2,0,1,4,1,1,2,0,1,1,1,3,0,1,0,4,1,1,0,0,0,1,3,0,1,0,0,0,1,0,0,0,1,0,1,0,0,4,1,0,1,0,1,0
games.azul.actions.TakeTilesAction@66131479,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,1,1,1,0,0,0
games.azul.actions.TakeTilesAction@2fcfe6e8,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
games.azul.actions.TakeTilesAction@66132320,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
games.azul.actions.TakeTilesAction@327c8269,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
