GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),Decisions(ActionsPerTurn (Sum)),Decisions(DecisionPoints (Mean)),Decisions(Decisions),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(PlayerName-1),FloorPenalties(PlayerName-0),FloorPenalties(Player-1),FloorPenalties(Player-0),FloorPenalties(PlayerName-1),Winner(PlayerIdx)
1076582170,Azul,5,GAME_OVER,55,50,2,198,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,55,0.9454545454545454,52,32.0,RuleBased,10.0,26.0,42.0,MCTS-Advanced,RuleBased,12,16,MCTS-Advanced,0
-747470862,Azul,5,GAME_OVER,52,47,2,199,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,52,0.9615384615384616,50,51.0,RuleBased,0.0,25.5,51.0,MCTS-Advanced,RuleBased,8,18,MCTS-Advanced,0
1568355455,Azul,5,GAME_OVER,58,53,2,200,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,1,MCTS-Advanced,58,0.9482758620689655,55,63.0,RuleBased,24.0,55.5,87.0,MCTS-Advanced,RuleBased,12,19,MCTS-Advanced,0
739670425,Azul,5,GAME_OVER,51,46,2,201,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,51,0.9411764705882353,48,38.0,RuleBased,8.0,27.0,46.0,MCTS-Advanced,RuleBased,10,17,MCTS-Advanced,0
681416186,Azul,5,GAME_OVER,53,48,2,202,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,53,0.9245283018867925,49,9.0,RuleBased,31.0,35.5,40.0,MCTS-Advanced,RuleBased,15,16,MCTS-Advanced,0
-1771985870,Azul,5,GAME_OVER,56,51,2,203,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,56,0.9285714285714286,52,5.0,RuleBased,30.0,32.5,35.0,MCTS-Advanced,RuleBased,14,17,MCTS-Advanced,0
1177562329,Azul,5,GAME_OVER,55,50,2,204,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,55,0.9090909090909091,50,32.0,RuleBased,12.0,28.0,44.0,MCTS-Advanced,RuleBased,12,18,MCTS-Advanced,0
-1068242537,Azul,5,GAME_OVER,56,51,2,205,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,56,0.9285714285714286,52,38.0,RuleBased,19.0,38.0,57.0,MCTS-Advanced,RuleBased,12,18,MCTS-Advanced,0
-1530631166,Azul,5,GAME_OVER,51,46,2,206,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,51,0.9411764705882353,48,59.0,RuleBased,2.0,31.5,61.0,MCTS-Advanced,RuleBased,7,18,MCTS-Advanced,0
-1842367650,Azul,5,GAME_OVER,50,45,2,207,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,1,MCTS-Advanced,50,0.94,47,58.0,RuleBased,8.0,37.0,66.0,MCTS-Advanced,RuleBased,9,19,MCTS-Advanced,0
344825474,Azul,5,GAME_OVER,56,51,2,208,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,1,MCTS-Advanced,56,0.9107142857142857,51,50.0,RuleBased,10.0,35.0,60.0,MCTS-Advanced,RuleBased,12,17,MCTS-Advanced,0
-1803779346,Azul,5,GAME_OVER,53,48,2,209,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,1,MCTS-Advanced,53,0.9433962264150944,50,36.0,RuleBased,9.0,27.0,45.0,MCTS-Advanced,RuleBased,11,17,MCTS-Advanced,0
389401069,Azul,5,GAME_OVER,52,47,2,210,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,52,0.9807692307692307,51,56.0,RuleBased,0.0,28.0,56.0,MCTS-Advanced,RuleBased,8,18,MCTS-Advanced,0
-1062961681,Azul,5,GAME_OVER,53,48,2,211,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,53,0.9622641509433962,51,21.0,RuleBased,32.0,42.5,53.0,MCTS-Advanced,RuleBased,14,18,MCTS-Advanced,0
-864933426,Azul,5,GAME_OVER,51,46,2,212,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,51,0.9411764705882353,48,22.0,RuleBased,28.0,39.0,50.0,MCTS-Advanced,RuleBased,12,19,MCTS-Advanced,0
134940315,Azul,5,GAME_OVER,54,49,2,213,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,54,0.9629629629629629,52,51.0,RuleBased,0.0,25.5,51.0,MCTS-Advanced,RuleBased,4,17,MCTS-Advanced,0
1359496886,Azul,5,GAME_OVER,50,45,2,214,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,50,0.94,47,28.0,RuleBased,0.0,14.0,28.0,MCTS-Advanced,RuleBased,9,16,MCTS-Advanced,0
