GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,ComputationTimes(Copy (ms)),ComputationTimes(Agent),ComputationTimes(Actions Available Compute (ms)),ComputationTimes(Player),ComputationTimes(Next (ms)),ComputationTimes(Agent (ms))
234785527,Azul,1,ACTION_TAKEN,10,10,2,60,0.0357,OSLA,0.003,1,0.0121,0.2609
234785527,Azul,1,ACTION_TAKEN,11,11,2,60,0.0636,RuleBased,0.0025,0,0.0107,0.0155
234785527,Azul,2,ACTION_TAKEN,12,11,2,60,0.0316,OSLA,0.0018,1,0.0126,0.1973
234785527,Azul,2,ACTION_TAKEN,13,12,2,60,0.0321,OSLA,0.0054,1,0.01,1.3316
234785527,Azul,2,ACTION_TAKEN,14,13,2,60,0.0319,RuleBased,0.0081,0,0.0115,0.036
234785527,Azul,2,ACTION_TAKEN,15,14,2,60,0.0342,OSLA,0.0047,1,0.0089,1.1266
234785527,Azul,2,ACTION_TAKEN,16,15,2,60,0.0313,RuleBased,0.0043,0,0.0079,0.022
234785527,Azul,2,ACTION_TAKEN,17,16,2,60,0.0238,OSLA,0.0027,1,0.0069,0.3716
234785527,Azul,2,ACTION_TAKEN,18,17,2,60,0.0196,RuleBased,0.0024,0,0.007,0.0141
234785527,Azul,2,ACTION_TAKEN,19,18,2,60,0.0199,OSLA,0.0021,1,0.0063,0.1681
234785527,Azul,2,ACTION_TAKEN,20,19,2,60,0.019,RuleBased,0.0022,0,0.0067,0.0087
234785527,Azul,2,ACTION_TAKEN,21,20,2,60,0.0194,OSLA,0.0016,1,0.006,0.1623
234785527,Azul,3,ACTION_TAKEN,22,20,2,60,0.0198,RuleBased,0.0013,0,0.0109,0.1623
234785527,Azul,3,ACTION_TAKEN,23,21,2,60,0.0194,RuleBased,0.0039,0,0.0062,0.0138
234785527,Azul,3,ACTION_TAKEN,24,22,2,60,0.0204,OSLA,0.0039,1,0.0129,2.2884
234785527,Azul,3,ACTION_TAKEN,25,23,2,60,0.0464,RuleBased,0.0068,0,0.012,0.0311
234785527,Azul,3,ACTION_TAKEN,26,24,2,60,0.0537,OSLA,0.0062,1,0.0143,4.1028
