GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),Decisions(ActionsPerTurn (Sum)),Decisions(DecisionPoints (Mean)),Decisions(Decisions),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(PlayerName-1),FloorPenalties(PlayerName-0),FloorPenalties(Player-1),FloorPenalties(Player-0),FloorPenalties(PlayerName-1),Winner(PlayerIdx)
1568355455,Azul,5,GAME_OVER,50,45,2,94,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,50,0.96,48,22.0,RuleBased,13.0,24.0,35.0,OSLA,RuleBased,13,16,OSLA,0
739670425,Azul,5,GAME_OVER,49,44,2,95,RuleBased,0,1,OSLA,2,RuleBased,2,1,1,OSLA,49,0.9387755102040817,46,35.0,RuleBased,3.0,20.5,38.0,OSLA,RuleBased,8,19,OSLA,0
681416186,Azul,5,GAME_OVER,49,44,2,96,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,49,0.9795918367346939,48,22.0,RuleBased,19.0,30.0,41.0,OSLA,RuleBased,13,17,OSLA,0
-1771985870,Azul,5,GAME_OVER,48,43,2,97,RuleBased,0,1,OSLA,2,RuleBased,2,1,1,OSLA,48,0.9583333333333334,46,60.0,RuleBased,3.0,33.0,63.0,OSLA,RuleBased,9,17,OSLA,0
1177562329,Azul,5,GAME_OVER,53,48,2,98,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,53,0.9433962264150944,50,44.0,RuleBased,7.0,29.0,51.0,OSLA,RuleBased,10,18,OSLA,0
-1068242537,Azul,5,GAME_OVER,50,45,2,99,RuleBased,0,0,OSLA,1,RuleBased,1,2,2,OSLA,50,0.96,48,6.0,RuleBased,19.0,16.0,13.0,OSLA,RuleBased,12,16,OSLA,1
-1530631166,Azul,5,GAME_OVER,52,47,2,100,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,52,0.9423076923076923,49,44.0,RuleBased,0.0,22.0,44.0,OSLA,RuleBased,8,18,OSLA,0
-1842367650,Azul,5,GAME_OVER,51,46,2,101,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,51,0.9411764705882353,48,18.0,RuleBased,20.0,29.0,38.0,OSLA,RuleBased,12,17,OSLA,0
344825474,Azul,5,GAME_OVER,55,50,2,102,RuleBased,0,1,OSLA,1,RuleBased,1,2,2,OSLA,55,0.9090909090909091,50,7.0,RuleBased,26.0,22.5,19.0,OSLA,RuleBased,12,17,OSLA,1
-1803779346,Azul,5,GAME_OVER,53,48,2,103,RuleBased,0,1,OSLA,2,RuleBased,2,1,1,OSLA,53,0.9245283018867925,49,30.0,RuleBased,13.0,28.0,43.0,OSLA,RuleBased,11,17,OSLA,0
389401069,Azul,6,GAME_OVER,50,45,2,104,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,50,0.96,48,28.0,RuleBased,17.0,31.0,45.0,OSLA,RuleBased,12,18,OSLA,0
-1062961681,Azul,5,GAME_OVER,50,45,2,105,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,50,0.94,47,13.0,RuleBased,7.0,13.5,20.0,OSLA,RuleBased,11,15,OSLA,0
-864933426,Azul,5,GAME_OVER,51,46,2,106,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,51,0.9411764705882353,48,22.0,RuleBased,8.0,19.0,30.0,OSLA,RuleBased,11,17,OSLA,0
134940315,Azul,5,GAME_OVER,46,41,2,107,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,46,0.9565217391304348,44,37.0,RuleBased,5.0,23.5,42.0,OSLA,RuleBased,12,16,OSLA,0
1359496886,Azul,6,GAME_OVER,49,44,2,108,RuleBased,0,1,OSLA,2,RuleBased,2,1,1,OSLA,49,0.9591836734693877,47,9.0,RuleBased,17.0,21.5,26.0,OSLA,RuleBased,12,18,OSLA,0
